260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,258,258,258,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,258,258,258,260,260,260,260,260,258,258,260,260,
260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,258,258,258,258,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,260,260,260,260,260,260,260,260,260,260,260,258,258,258,258,260,260,260,260,258,258,260,260,
260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,258,258,258,258,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,260,260,260,258,258,260,260,
260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,258,258,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,260,260,258,258,258,260,
260,260,260,260,260,258,258,258,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,258,258,258,258,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,260,260,258,258,258,260,
260,260,260,260,258,258,258,258,258,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,258,258,258,258,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,260,260,260,258,258,260,260,
260,260,260,260,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,258,258,258,258,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,260,260,260,258,258,260,260,
260,260,260,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,260,260,
260,260,260,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,260,260,
260,260,260,260,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,260,260,258,258,258,258,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,260,260,
260,260,260,260,260,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,260,
260,260,260,260,260,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,260,
260,260,260,260,260,258,258,258,258,258,258,258,258,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,
260,260,260,260,260,258,258,258,258,258,258,258,258,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,
260,260,260,260,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,
260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,
260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,
260,260,258,258,258,258,260,260,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,260,260,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,
260,260,258,258,258,258,260,260,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,260,260,
260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,260,260,260,
260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,258,258,260,260,260,260,
260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,260,260,
260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,258,258,258,258,258,258,258,258,260,260,260,260,260,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,260,260,
260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,260,260,
260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,260,260,
260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,258,258,258,260,260,
260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,260,260,
260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,260,260,258,258,258,258,258,260,260,
260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,
260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,260,260,258,258,260,260,260,260,260,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,
260,260,260,260,260,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,
260,260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,
260,260,260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,
260,260,260,260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,
260,260,260,260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,
260,260,260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,
260,260,260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,
260,260,260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,
260,260,260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,
260,260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,
260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,
260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,
260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,
260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,
260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,
260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,240,
260,260,260,260,258,258,260,260,260,260,258,258,258,258,258,258,258,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,
260,260,260,260,258,258,260,260,260,260,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,
260,260,260,260,258,258,258,260,260,260,260,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,
260,260,260,260,260,258,258,258,260,260,260,258,258,258,258,258,258,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,258,258,258,258,258,258,260,260,258,258,258,258,260,260,
260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,258,258,258,258,258,258,260,260,260,260,258,258,258,260,260,
260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,258,258,258,258,258,258,260,260,260,260,258,258,258,260,260,
260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,258,258,258,258,258,258,260,260,260,260,258,258,258,260,260,
260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,258,258,258,258,260,260,260,260,260,258,258,258,258,260,
260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,258,258,258,260,260,260,260,260,260,258,258,258,260,
260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,258,258,258,258,260,260,260,260,260,258,258,258,260,
260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,260,260,260,260,260,260,260,260,260,258,258,258,258,258,260,260,260,260,258,258,260,260,
260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,258,258,258,258,258,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,260,260,260,260,260,260,
